       2        1        1
       3        1        2
       2        2        3
       3        2        4
       4        1        5
       4        2        6
       5        1        7
       8        1        8
       8        2        9
       6        1       10
       5        2       11
      12        1       12
       7        1       13
      10        1       14
      14        1       15
       9        1       16
       7        2       17
      10        2       18
       9        2       19
      17        1       20
       1        1       21
      24        1       22
      13        1       23
      16        1       24
      19        1       25
      21        1       26
      15        1       27
      23        1       28
      22        1       29
      25        1       30
      11        1       31
      16        2       32
      19        2       33
      12        2       34
      20        1       35
      18        1       36
      29        1       37
      26        1       38
      27        1       39
      62        1       40
      27        2       41
      15        2       42
       1        2       43
      11        2       44
      20        2       45
      62        2       46
      13        2       47
      23        2       48
      30        1       49
      14        2       50
      32        1       51
      28        1       52
      24        2       53
      29        2       54
       6        2       55
      28        2       56
      30        2       57
      33        1       58
      34        1       59
      31        1       60
      35        1       61
      37        1       62
      37        2       63
      32        2       64
      34        2       65
      33        2       66
      39        1       67
      18        2       68
      26        2       69
      17        2       70
      21        2       71
      40        1       72
      36        1       73
      40        2       74
      36        2       75
      43        1       76
      42        1       77
      38        1       78
      45        1       79
      41        1       80
      39        2       81
      22        2       82
      35        2       83
      31        2       84
      38        2       85
      47        1       86
      44        1       87
      44        2       88
      46        1       89
      57        1       90
      46        2       91
      25        2       92
      45        2       93
      51        1       94
      56        1       95
      47        2       96
      55        1       97
      53        1       98
      43        2       99
      57        2      100
      52        1      101
      52        2      102
      49        1      103
      54        1      104
      50        1      105
      48        1      106
      48        2      107
      49        2      108
      58        1      109
      51        2      110
      54        2      111
      53        2      112
      56        2      113
      55        2      114
      59        1      115
      41        2      116
      42        2      117
      60        1      118
      50        2      119
      60        2      120
      58        2      121
      61        1      122
      59        2      123
      61        2      124
